guess (SE),slip (SE),quality diag
0.252(0.03),0.318(0.017),6.365878007
0.237(0.026),0.124(0.008),22.7435688
0.146(0.025),0.278(0.016),15.19138662
0.27(0.037),0.313(0.017),5.934327299
0.199(0.031),0.103(0.009),35.05376397
0.18(0.028),0.217(0.014),16.43778802
0.248(0.035),0.206(0.014),11.68744128
0.12(0.022),0.323(0.017),15.37048504
0.304(0.039),0.189(0.012),9.824143693
0.236(0.024),0.272(0.016),8.664506481
0.153(0.064),0.243(0.014),17.24573012
0.239(0.079),0.261(0.014),9.015518043
0.297(0.08),0.187(0.013),10.29076865
0.187(0.077),0.249(0.014),13.11262161
0.28(0.08),0.092(0.009),25.37888199
0.314(0.071),0.162(0.011),11.30117166
0.303(0.082),0.091(0.009),22.97802198
0.143(0.014),0.131(0.011),39.75513799
0.253(0.032),0.299(0.017),6.922244107
0.189(0.023),0.259(0.014),12.27658271
